"id","subspecies","call_type","context","location","date","description","audio_file","spectrogram_file"
13,"M. k. macfarlanei","Double Trill","Male singing near the nest box.","Kaleden, B.C.","2022-05-22","Both males and females will give a double-trill as a more aggressive form of their song, sometimes heard in response to call playback.","doubletrillmale_2022May22.wav","doubletrillmale_2022May22.png"
14,"M. k. macfarlanei","Abnormal Vocalisations","While the female is in the nest box, these calls may precede a prey delivery to the nest, or serve as an intimate form of contact call.","Kaleden, B.C.","2022-05-20","There are a slew of less frequently heard vocalisations - these are used in extreme situations, or are so intimate between owls that they are very rarely heard by observers. These can include calls associated with pain, bill clacking (often heard as a defense or in situations of heightened aggression), and more intimate contact calls between adult owls or between parents and offspring.","female_abnormal_wesomac_may20_2022.wav","female_abnormal_wesomac_may20_2022.png"
15,"M. k. macfarlanei","Begging","A triplet of fledged chicks begging for food from their parents. They are volant but recently fledged, and are not hypermobile yet.","Kelowna, B.C.","2022-06-17","Begging is a form of demand. Often begging is a bid for affection or food. Although males have not been observed begging, they likely can. Both adult female owls and chicks will beg frequently during the breeding season. Chick begging progresses as they grow, and chicks will continue to be distinguishable from adult female begging until 2-3 months after they are fledged. Once owls have matured in the fall, they become unrecognisable from adults.","fledged_chicks_begging_june17_2022.wav","fledged_chicks_begging_june17_2022.png"
16,"M. k. macfarlanei","Song","Male singing near the nest box.","Kaleden, B.C.","2022-05-20","Both male and female adult Western Screech-Owls can sing. Males often sing at a lower frequency (550-750 Hz), whereas females sing at a higher frequency (800-900 Hz). Males sing more often than females and sing to defend territory and advertise to females. This is the most common and easily recognised of their calls and can be heard most regularly during the breeding season from February through June, but can often be heard at other times of the year as owls delineate their territorial boundaries. Females will sing less frequently and most commonly as a part of a male/female duet or in territorial defense.","malesong_may20_2022_wesomac.wav","malesong_may20_2022_wesomac.png"
17,"M. k. macfarlanei","Barking","Adult owl barking in response to Great-Horned Owl song.","Kaleden, B.C.","2022-05-24","Barks are loud, short bursts with lots of harmonics, and are usually a sign that an owl is agitated. They're typically heard from the female once the chicks are a little older or have fledged; however, they can occur whenever an owl is agitated, often in response to a predator.","march24_2026_wesomac_barking.wav","march24_2026_wesomac_barking.png"
18,"M. k. macfarlanei","Begging","Both the adult female and one of the chicks are begging from within the nest box.","Kaleden, B.C.","","Begging is a form of demand. Often begging is a bid for affection or food. Although males have not been observed begging, they likely can. Both adult female owls and chicks will beg frequently during the breeding season. Chick begging progresses as they grow, and chicks will continue to be distinguishable from adult female begging until 2-3 months after they are fledged. Once owls have matured in the fall, they become unrecognisable from adults.","May21_2022_wesomac_chick_and_female_begging.wav","May21_2022_wesomac_chick_and_female_begging.png"
19,"M. k. macfarlanei","Abnormal Vocalisations","Female in the nest box with chicks. Often heard intimately between the female and chicks, but likely still indicates a milder form of irritation.",,"","There are a slew of less frequently heard vocalisations - these are used in extreme situations, or are so intimate between owls that they are very rarely heard by observers. These can include calls associated with pain, bill clacking (often heard as a defense or in situations of heightened aggression), and more intimate contact calls between adult owls or between parents and offspring.","may192026_wesomac_intimatebarks.wav","may192026_wesomac_intimatebarks.png"
20,"M. k. macfarlanei","Abnormal Vocalisations","Fighting between nestlings. These vocalisations have often been heard as a pain response or a 'let go'. Similar vocalisations have been heard from Northern Saw-whet Owls once captured by a predator. This does not indicate predation, but is likely a response to discomfort.",,"","There are a slew of less frequently heard vocalisations - these are used in extreme situations, or are so intimate between owls that they are very rarely heard by observers. These can include calls associated with pain, bill clacking (often heard as a defense or in situations of heightened aggression), and more intimate contact calls between adult owls or between parents and offspring.","owwweeee_chicks_May24_202022_wesomac.wav","owwweeee_chicks_May24_202022_wesomac.png"
21,"M. k. macfarlanei","Abnormal Vocalisations","Chick bill clacking at other nestlings within the nest box. Bill clacking is often heard as a defense or a sign of extreme irritation. Often heard while handling owls.","Kaleden, B.C.","2022-05-24","There are a slew of less frequently heard vocalisations - these are used in extreme situations, or are so intimate between owls that they are very rarely heard by observers. These can include calls associated with pain, bill clacking (often heard as a defense or in situations of heightened aggression), and more intimate contact calls between adult owls or between parents and offspring.","wesomac_chick_bill_clacking_May24_2022.wav","wesomac_chick_bill_clacking_May24_2022.png"
22,"M. k. macfarlanei","Abnormal Vocalisations","Chick singing in response to adult male.","Kelowna, B.C.","2022-06-10","There are a slew of less frequently heard vocalisations - these are used in extreme situations, or are so intimate between owls that they are very rarely heard by observers. These can include calls associated with pain, bill clacking (often heard as a defense or in situations of heightened aggression), and more intimate contact calls between adult owls or between parents and offspring.","WDRP_20220610_2305.wav","WDRP_20220610_2305.png"
